"","Classification_orig","Class_orig_short","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"1","Multilineage_Multilineage","Multi_Multi","50%","BTHAL","BM",0.985528681466341,0.0787362386857981,0.00102758705366056
"2","Multilineage_Multilineage","Multi_Multi","50%","BTHAL","PB",0.985518254563641,0.0758116001631297,0.00146826886948665
"3","Multilineage_Multilineage","Multi_Multi","50%","MLD","BM",0.975639541989398,0.097937314305426,0.000759592075466585
"4","Multilineage_Multilineage","Multi_Multi","50%","MLD","PB",0.967873764097797,0.112644595012396,0.000655742167329086
"5","Multilineage_Multilineage","Multi_Multi","50%","WAS","BM",0.936567457120865,0.153888552055621,0.00195328421610858
"6","Multilineage_Multilineage","Multi_Multi","50%","WAS","PB",0.933465163437287,0.157371539463906,0.00154293238274206
"7","Multilineage_Multilineage","Multi_Multi","70%","BTHAL","BM",0.988989666723443,0.0675277930133015,0.000881305571880902
"8","Multilineage_Multilineage","Multi_Multi","70%","BTHAL","PB",0.989349420688506,0.0676114504027948,0.00130945379907104
"9","Multilineage_Multilineage","Multi_Multi","70%","MLD","BM",0.98095183192783,0.0899498884631172,0.000697642394528084
"10","Multilineage_Multilineage","Multi_Multi","70%","MLD","PB",0.97471036546827,0.103171062184076,0.000600593538596188
"11","Multilineage_Multilineage","Multi_Multi","70%","WAS","BM",0.946834539089252,0.150138100139714,0.00190568029474628
"12","Multilineage_Multilineage","Multi_Multi","70%","WAS","PB",0.94552861994471,0.1481698900906,0.00145264598128039
"13","Multilineage_Multilineage","Multi_Multi","80%","BTHAL","BM",0.992346089063003,0.0479090793960921,0.00062526164015376
"14","Multilineage_Multilineage","Multi_Multi","80%","BTHAL","PB",0.99300554305243,0.0446986177096091,0.000865693228356659
"15","Multilineage_Multilineage","Multi_Multi","80%","MLD","BM",0.987465578547749,0.0599893173875491,0.000465271183137881
"16","Multilineage_Multilineage","Multi_Multi","80%","MLD","PB",0.983494960106333,0.0682578903492137,0.000397352193862286
"17","Multilineage_Multilineage","Multi_Multi","80%","WAS","BM",0.966150288588665,0.0972717980267101,0.00123465628352525
"18","Multilineage_Multilineage","Multi_Multi","80%","WAS","PB",0.965449186210432,0.0967325388664319,0.000948358224180705
"19","Multilineage_Multilineage","Multi_Multi","90%","BTHAL","BM",0.994472832566854,0.0371768185359801,0.000485194848795231
"20","Multilineage_Multilineage","Multi_Multi","90%","BTHAL","PB",0.994365257981162,0.0388615494543824,0.000752644755698429
"21","Multilineage_Multilineage","Multi_Multi","90%","MLD","BM",0.990166827077318,0.050113379389827,0.000388674389626939
"22","Multilineage_Multilineage","Multi_Multi","90%","MLD","PB",0.986667909225434,0.0591722987493533,0.000344461901820278
"23","Multilineage_Multilineage","Multi_Multi","90%","WAS","BM",0.973004557066906,0.0832999009782548,0.00105731309841309
"24","Multilineage_Multilineage","Multi_Multi","90%","WAS","PB",0.971826350365855,0.0848663397590757,0.000832022938814468
"25","Multilineage_UniErythroid","Multi_UniEry","50%","BTHAL","BM",0.915928006658344,0.169390006581373,0.0103665000521862
"26","Multilineage_UniErythroid","Multi_UniEry","50%","MLD","BM",0.9255,0.139833173197674,0.0197753970005816
"27","Multilineage_UniErythroid","Multi_UniEry","50%","WAS","BM",0.858214285714286,0.250893134664857,0.0280507052099315
