"","Classification_orig_aggr","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"1","Multi_Multi","50%","BTHAL","BM",0.985528681466341,0.0787362386857981,0.00102758705366056
"2","Multi_Multi","50%","BTHAL","PB",0.985518254563641,0.0758116001631297,0.00146826886948665
"3","Multi_Multi","50%","MLD","BM",0.975639541989398,0.097937314305426,0.000759592075466585
"4","Multi_Multi","50%","MLD","PB",0.967873764097797,0.112644595012396,0.000655742167329086
"5","Multi_Multi","50%","WAS","BM",0.936567457120865,0.153888552055621,0.00195328421610858
"6","Multi_Multi","50%","WAS","PB",0.933465163437287,0.157371539463906,0.00154293238274206
"7","Multi_Multi","70%","BTHAL","BM",0.988989666723443,0.0675277930133015,0.000881305571880902
"8","Multi_Multi","70%","BTHAL","PB",0.989349420688506,0.0676114504027948,0.00130945379907104
"9","Multi_Multi","70%","MLD","BM",0.98095183192783,0.0899498884631172,0.000697642394528084
"10","Multi_Multi","70%","MLD","PB",0.97471036546827,0.103171062184076,0.000600593538596188
"11","Multi_Multi","70%","WAS","BM",0.946834539089252,0.150138100139714,0.00190568029474628
"12","Multi_Multi","70%","WAS","PB",0.94552861994471,0.1481698900906,0.00145264598128039
"13","Multi_Multi","80%","BTHAL","BM",0.992346089063003,0.0479090793960921,0.00062526164015376
"14","Multi_Multi","80%","BTHAL","PB",0.99300554305243,0.0446986177096091,0.000865693228356659
"15","Multi_Multi","80%","MLD","BM",0.987465578547749,0.0599893173875491,0.000465271183137881
"16","Multi_Multi","80%","MLD","PB",0.983494960106333,0.0682578903492137,0.000397352193862286
"17","Multi_Multi","80%","WAS","BM",0.966150288588665,0.0972717980267101,0.00123465628352525
"18","Multi_Multi","80%","WAS","PB",0.965449186210432,0.0967325388664319,0.000948358224180705
"19","Multi_Multi","90%","BTHAL","BM",0.994472832566854,0.0371768185359801,0.000485194848795231
"20","Multi_Multi","90%","BTHAL","PB",0.994365257981162,0.0388615494543824,0.000752644755698429
"21","Multi_Multi","90%","MLD","BM",0.990166827077318,0.050113379389827,0.000388674389626939
"22","Multi_Multi","90%","MLD","PB",0.986667909225434,0.0591722987493533,0.000344461901820278
"23","Multi_Multi","90%","WAS","BM",0.973004557066906,0.0832999009782548,0.00105731309841309
"24","Multi_Multi","90%","WAS","PB",0.971826350365855,0.0848663397590757,0.000832022938814468
"25","Multi_Uni","50%","BTHAL","BM",0.918374248250025,0.168249705415356,0.00593002292500823
"26","Multi_Uni","50%","BTHAL","PB",0.909254431699687,0.176433898920342,0.0106587616350162
"27","Multi_Uni","50%","MLD","BM",0.951613613956334,0.137277950447082,0.00194004583626387
"28","Multi_Uni","50%","MLD","PB",0.929338046832013,0.162912358368695,0.00170628617689686
"29","Multi_Uni","50%","WAS","BM",0.83179282846972,0.229290740319517,0.00598647894802455
"30","Multi_Uni","50%","WAS","PB",0.821932844932845,0.238734162308271,0.0041876742307003
"31","Multi_Uni","70%","BTHAL","BM",0.934103815439219,0.15989680138957,0.0056356217417133
"32","Multi_Uni","70%","BTHAL","PB",0.912646275055034,0.189900692332853,0.0114723203776973
"33","Multi_Uni","70%","MLD","BM",0.961563810665069,0.125345496341887,0.00177141345336625
"34","Multi_Uni","70%","MLD","PB",0.944149567827716,0.150322501901427,0.00157442449203561
"35","Multi_Uni","70%","WAS","BM",0.859616320966014,0.224594124684031,0.00586385650548886
"36","Multi_Uni","70%","WAS","PB",0.854355921855922,0.228060388397751,0.00400044385061047
"37","Multi_Uni","80%","BTHAL","BM",0.95579069308883,0.112769350922861,0.00397459736740691
"38","Multi_Uni","80%","BTHAL","PB",0.950405515004055,0.114936459978763,0.00694356548023306
"39","Multi_Uni","80%","MLD","BM",0.974236624281561,0.087239981251007,0.00123289692066751
"40","Multi_Uni","80%","MLD","PB",0.963616430556426,0.099593005579245,0.00104310176610967
"41","Multi_Uni","80%","WAS","BM",0.90937665682042,0.151563310786564,0.00395711823361163
"42","Multi_Uni","80%","WAS","PB",0.904448351648352,0.154508535791857,0.0027102590073527
"43","Multi_Uni","90%","BTHAL","BM",0.965586611456177,0.0932561542645251,0.00328684755388739
"44","Multi_Uni","90%","BTHAL","PB",0.963341443633414,0.0919975831674321,0.00555777725244261
"45","Multi_Uni","90%","MLD","BM",0.980116170694361,0.0718076901596489,0.00101480397873258
"46","Multi_Uni","90%","MLD","PB",0.970700173077861,0.0862966847842706,0.000903840824808299
"47","Multi_Uni","90%","WAS","BM",0.924892610986681,0.138062369801001,0.00360462646322453
"48","Multi_Uni","90%","WAS","PB",0.921073504273504,0.137535212701276,0.00241252722473504
"49","Uni_Uni","50%","BTHAL","BM",0.996178425357873,0.0384481538813031,0.000752872957756892
